,wid,price,designation,variety,region_1,region_2,province,country,winery,clean,cleaned,encoded
5235,5236,,Torre Butria Riserva,White Blend,Friuli Colli Orientali,,Northeastern Italy,Italy,Castello di Buttrio,made  friulano chardonnay  sauvignon  offers scents  wildflower beeswax  ripe orchard fruit  structured palate offers bitter almond yellow apple skin acacia honey  mineral  still  fresh acidity  drink soon  capture  remaining fruit richness,friulano ripe orchard bitter almond yellow,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5236,5237,24.0,Whale Rock Vineyard Reserve,Tempranillo,Paso Robles,Central Coast,California,US,Castoro Cellars, wines silkysmooth nose blends aromas  cherry pastries  cinnamon donut  black gravel  gingerbread  palate  grippy  tannins  add mouthfeel    ton  structure offering flavors  dense strawberry  tar,black dense,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
5237,5238,20.0,Estate Grown,Viognier,Rogue Valley,Southern Oregon,Oregon,US,Del Rio,full  fruity    ripeness  feel fleshy  lush   pleasant mix  pear apple  peach flavors light touches  brioche  cinnamon add interest   finish,full fleshy lush pleasant light,"0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0"
5238,5239,27.0,Methven Familly Vineyards Cru,Gamay Noir,Eola-Amity Hills,Willamette Valley,Oregon,US,Division,aged  neutral oak  appealing wine   strong underpinning  wet rock  spicy tart cranberryraspberry fruit  rich enough  deserve  bottle age  order  reach  peak drink 20162020,aged neutral strong wet spicy tart rich,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5239,5240,13.0,Kabinett,Riesling,,,Mosel,Germany,Karl Kaspar,lemon  white grapefruit flavors shine brightly   offdry riesling quaffer  fresh  fruity  balanced vibrantly  zesty lime acidity drink now,zesty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5240,5241,11.0,Arnegui,Tempranillo,Rioja,,Northern Spain,Spain,Pagos del Rey,fresh dry redfruit aromas lead  charge   tasty  simple rioja  feels crisp healthy  balanced flavors  plum raspberry  herbs finish mild,dry tasty simple crisp healthy balanced,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5241,5242,30.0,Lehen,Sauvignon,Alto Adige,,Northeastern Italy,Italy,Alois Lageder, nose isnt overly expressive  eventually reveals suggestions  tropical fruit chopped herb   whiff  stone  straightforward slender palate offers grapefruit  hint  peach  mineral accompanied  crisp acidity,expressive tropical straightforward slender crisp,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5242,5243,30.0,One Toe Duck,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Ancient Cellars, scents mingle rose petals sandalwood   touch  bitter greens  dusting  incense continues   palate  indian spices  tart red fruit tannins  firm  proportionate   bit  stem flavoring  finish,petal bitter green indian,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
5243,5244,35.0,The Bernard Series Bush Vine,Pinotage,,,Coastal Region,South Africa,Bellingham,graphite char vanilla bean  cedar plank lay atop  black berry  plum preserve fruit core   nose  palate  creamy  mouthfilling  first offering rich notes  vanillainfused stewed berries  raspberry sauce    overwhelmed  aggressive green tannins  hold  palate hostage   long woody finish,creamy mouthfilling first rich aggressive green,"0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
5244,5245,24.0,Rothenberg,Riesling,,,Nahe,Germany,Bürgermeister Willi Schweinhardt,  nose   bit subdued suggesting bruised apple  herb notes  palate   spry offdry riesling  fresh fruity  elegant crisp white peach  grapefruit flavors  lively  tart finishing   refreshing green herb note drink now  2018,elegant crisp green,"0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0"
5245,5246,,Late Bottled Vintage,Port,,,Port,Portugal,Quinta Nova de Nossa Senhora do Carmo, wine  fruity supported  firm tannins  integrate well   acidity     delicious black currant  berry fruit character  wine needs  develop richness   matures drink  2018,richness,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5246,5247,23.0,Late Bottled Vintage,Port,,,Port,Portugal,Ramos-Pinto,bacon aromas lead   wine   spicy dry  meaty  character    stalky element  first yet turns  fresh ripe fruit balanced  lively acidity drink  2017,dry stalky ripe,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5247,5248,82.0,Nocturne Sec,Champagne Blend,Champagne,,Champagne,France,Taittinger,like  rosé counterpart  wine  soft  fruity  attractive apple fruits  bright lemon  give freshness   rounded wine   perfumed white fruits   ripe always fresh aftertaste,soft bright white,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
5248,5249,55.0,Grand Brut Rosé,Champagne Blend,Champagne,,Champagne,France,Lallier,produced  grand cru vineyards  palecolored rosé  warm  ripe  attractive blend  red fruits  crisp acidity  rounded    soft full aftertaste    drunk   apéritif although    better  food,warm ripe red crisp soft full well,"0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
5249,5250,26.0,Colbello Extra Dry,Glera,Valdobbiadene Prosecco Superiore,,Veneto,Italy,Merotto,delicate aromas  spring flowers  white stone fruit lead  nose  palate offers crisp green apple yellow pear  creamy white peach alongside refreshing acidity   foaming mousse,delicate crisp green yellow creamy white,"0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
5250,5251,25.0,Quinta de Cidrô,Chardonnay,,,Duriense,Portugal,Real Companhia Velha, oakfermented wine may  little connection   douro     full ripe  tropicalfruit flavored  toast   perceptible   smooth creaminess   texture  acidity   crisp lemon edge give  wine  attractive final lift drink  late 2016,oakfermented full ripe perceptible smooth creaminess crisp final,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
5251,5252,17.0,Terras do Grifo,Portuguese Red,,,Douro,Portugal,Rozes,named   vultures  fly   douro  solid structured wine  full  tannins  well  ripe fruit  comes   good red wine vintage allowing  structure  develop richly   good concentration  wine still needs time  drink  2017,vulture solid structured full ripe red,"0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
5252,5253,19.0,Extra Dry,Glera,Valdobbiadene Prosecco Superiore,,Veneto,Italy,Sanfeletto,delicate  alluring scents  wisteria hawthorn   hint  white stone fruit lead  way   whiff  almond  crisp creamy palate offers bartlett pear apple   mineral note alongside vibrant acidity  racy bubbles,delicate alluring almond crisp creamy vibrant,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5253,5254,,Blanc de Blanc Brut,Sparkling Blend,Vino Spumante,,Italy Other,Italy,Ambo Secco,yeasty aromas  bread dough citrus  nut lead  nose   100 chardonnay  bright palate delivers yellow apple tropical fruit  hazelnut alongside crisp acidity  small persistent bubbles,bright yellow tropical crisp small persistent,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
5254,5255,20.0,Vendimia Seleccionada,Verdejo,Rueda,,Northern Spain,Spain,Anier,pungent aromas  nettle grapefruit  green herbs  true  rueda  verdejo  feels tight  minerally almost   point  seeming raw nettle lime  scallion flavors  tangy citric  lightly pickled   finish,pungent green true raw nettle,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
5255,5256,19.0,Miraval,Glera,Conegliano Valdobbiadene Prosecco Superiore,,Veneto,Italy,Bellenda, offers subdued aromas  white spring flowers citrus  orchard fruit  bright creamy palate offers tart green apple  lime alongside vibrant acidity   soft frothy mousse,orchard bright creamy tart green vibrant soft,"0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0"
5256,5257,22.0,Primogénito,Pinot Noir,Patagonia,,Other,Argentina,Bodega Patritti,leafy tomato dried cherry  baked plum aromas cover  ends   pinot spectrum  feels round ripe   touch tannic  oaky flavors  vanilla  chocolate dominate ending     dash  wood spice,leafy ripe tannic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
5257,5258,15.0,Cármine,Monastrell,Jumilla,,Levante,Spain,Bodegas Murtia,blackberry  cassis aromas  bold  come   coating  oak  brings vanilla  sweet plastic   frame  crisp tightly wound palate shows plum  redcurrant flavors  front   snappy finish  oak spice  chocolate hints,bold sweet crisp wound snappy,"0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5258,5259,68.0,Première Cuvée Extra Brut Rosé,Champagne Blend,Champagne,,Champagne,France,Bruno Paillard, palecolored rosé fresh   dry   crisp  light attractive raspberry  red currant fruits  cut  acidity  tangy texture  lively  crisp,dry crisp crisp,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5259,5260,40.0,Cuvée Prestige,Sparkling Blend,Franciacorta,,Lombardy,Italy,Ca' del Bosco, goldenhued sparkler opens  aromas  yellow orchard fruit citrus   whiff  bread crust  carry    crisp palate along   nutty note  firm persistent perlage offsets  ripe fruit flavors,yellow orchard crisp nutty persistent ripe,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5260,5261,72.0,Blanc de Blancs Millésimé Brut,Chardonnay,Champagne,,Champagne,France,Chassenay d'Arce, soft style  blanc de blancs rounded  much  crisp    attractively ripe  fruity wine apple  grapefruit flavors  filled   perfumed acidity   lively fresh aftertaste drink now,soft crisp ripe perfumed,"0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5261,5262,,Cuvée Secret de,Chardonnay,Beaujolais Blanc,,Beaujolais,France,Château de Chatelard,   fragrant ripe wine   delicious  drink now really  need   months aging fruity  apples lime  greenplum flavors  also   fine texture  gives structure   allow  potential richness  develop drink  late 2016,fragrant ripe potential,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5262,5263,18.0,DMZ,Sauvignon Blanc,,,Western Cape,South Africa,DeMorgenzon,   easy clean  direct sauvy  fresh notes  lime tart gooseberry  green plum   nose  mouth  palate  lively  bright finishing mouthwatering  refreshing drink now,easy direct refreshing,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5263,5264,26.0,Rebisaca,Albariño,Rías Baixas,,Galicia,Spain,Do Ferreiro,slightly oily mature aromas  apple  peach break  quickly  singlevineyard albariño feels lean  narrow citrusy flavors  tangerine  grapefruit finish racy  zesty drink now,mature singlevineyard albarino lean narrow zesty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5264,5265,18.0,Fleur de,Chardonnay,Beaujolais-Villages,,Beaujolais,France,Domaine du Clos du Fief,grown   far north  beaujolais almost  burgundys mâcon region  full  ripe chardonnay  full  spice  toast  well  rich yellow fruits   still young  intense citrus flavors  wait  drink  2016,north full ripe full rich yellow intense,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
5265,5266,32.0,Three Vineyard,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Chehalem, blend   three estate vineyards   first pinot   released   vintage   spent time  22 oak roughly half new cranberry pomengranate dried herbs   gently earthy tannins combine   tart gulpable style,half cranberry earthy tart gulpable,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
5266,5267,55.0,Brut Rosé,Champagne Blend,Champagne,,Champagne,France,Henri Abelé, wine   acidity   crisp  bright touches  red fruits give  wine  riper character although  makes   attractive   freshness   delicious fruity aftertaste drink  bottle   fine apéritif,crisp bright red delicious,"0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0"
5267,5268,75.0,Brut Grand Assemblage,Champagne Blend,Champagne,,Champagne,France,Jeeper, small négociant house blends wines  37 different villages  produce  nonvintage cuvée  wine  balanced fresh  also ripe  attractive acidity  grapefruit  lemon flavors  fine orange tang   end leaves  wine   bright  deliciously lively,small different ripe bright,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
5268,5269,48.0,Lot 451,Syrah,Temecula Valley,South Coast,California,US,Lorenzi Estate,stewed olallieberries  black cherries gain nuance  concentrated red rose petals cola  gravel   wine  riverside county like many   winerys bottlings  palate shows lots  barrel influence  strong vanilla elements laced amidst blueberry  lighter red fruits,black petal many strong blueberry light red,"1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0"
5269,5270,54.0,Manzana Vineyard Dutton Ranch,Pinot Noir,Russian River Valley,Sonoma,California,US,Dutton Estate,   fullbodied wine soft  smooth  integrated tannins yet robust  black cherry  graham cracker  savory fruit  seasoned  baking spices   touch  herbes de provence finishing  aplomb,soft smooth robust black,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
5270,5271,19.0,Dornas Branco,Portuguese White,,,Alentejano,Portugal,Espaço Rural,   delicious wine full  ripe fruit tones   richly textured  keeping plenty  freshness   antão vaz  dominates  blend    firm mineral background  gives structure  finish brings  zippy orange zest note,delicious full ripe plenty,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
5271,5272,19.0,Cuvée Philippine,Red Blend,Côtes de Provence,,Provence,France,Domaine de la Sauveuse,like  estates cuvée carolle    note  volatility  surmaturité   also bigger richer   extracted  lots  ripe tannins  also thick purple fruit  comes    finish try  2010 40 syrah 40 cab sauvignon 10 mourvèdre 10 grenache,ripe thick purple,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5272,5273,50.0,Ramal Vineyard,Pinot Noir,Carneros,Napa-Sonoma,California,US,Gary Farrell, ramal vineyard   source   fine series  buena vista pinot noirs farrell  captured another interpretation   terroir  quite  lush  ripe  firm  acidinspired cherries  licorice   subtle veneer  smoky oak   dry crisp young wine wellstructured  good partner  upscale fare   lamb chops,ramal lush ripe licorice subtle dry crisp wellstructured upscale,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5273,5274,30.0,Ciel du Cheval Red,Red Blend,Red Mountain,Columbia Valley,Washington,US,Seven Hills, beautifully structured bordeaux blend  one  washingtons great vineyards  spent  18 months  french oak  another 910 months  bottle   sleek  somewhat austere  first  sculpted  evocative  subtle mixed fruits  impressions  steel  gunpowder   fruit comes   shows  pretty blackberry  black cherry character nicely balanced  set  evolve   next decade  ,austere evocative subtle mixed pretty blackberry black set next,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5274,5275,35.0,Willakia,Pinot Noir,Eola-Amity Hills,Willamette Valley,Oregon,US,Soléna, vineyard name   combination   two prevalent soil types nekia  willakenzie  dijon clone pinot  dark  pleasantly earthy  core flavors  cassis  cherry liqueur  earthy slightly rustic tannins coat  throat leaving  astringent green tea residue   silky fruit compensates  needs   bottle age  really shine,prevalent dark earthy earthy rustic astringent green,"0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0"
5275,5276,24.0,%@#$!,Rhône-style White Blend,Sierra Foothills,Sierra Foothills,California,US,Twisted Oak, honeyed aroma   rhône blend  marsanne roussanne rolle  viognier makes  immediately attractive    flavors kick    turns   roller coaster ride apricot jam peaches pears pineapples buttersautéed plaintain vanilla custard star anise lemon crème brûlée  list goes     finish  fully dry   alcohol  refreshingly low drink now,dry low,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5276,5277,,Holbar Bianco,White Blend,Friuli,,Northeastern Italy,Italy,Marega,heres  intense slightly oxidized 8020 blend  riesling  chard   redolent  apple pear pine nut resin  maple syrup  wine  loads  personality  complexity    unique   noncommercial way  word holbar refers   acacia wood casks used  age  wine,intense chard pine unique noncommercial,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5277,5278,22.0,Cot Reserva Limited Edition,Malbec,,,Maipo Valley,Chile,Viña Pérez Cruz,  often   come across chilean malbec cot  several years  bottle age   offers    little   nose  pure  herbal hints  plenty  sauvage character roundness  depth give  length   palate   endowed  solid berry flavors  proper savory accents  wine  personality thats drinking perfectly right now,several pure herbal plenty solid proper savory accent right,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
5278,5279,45.0,Estate Vineyard,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Willamette Valley Vineyards, estate vineyard bottling shows  definite meaty almost rhonelike aroma     syrah    elegant light sultry bottle  pinot noir  tart black cherry  currant fruit  shadowed  smoke  cinnamon   balance throughout  light  delicate,definite rhonelike elegant light light,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0"
5279,5280,38.0,Clifton Hill Vineyard,Syrah,Wahluke Slope,Columbia Valley,Washington,US,Chatter Creek,clifton hill syrah looks  smells  way youd hope   black   center purplegarnet   edges peppery  loaded  sweet grapey fruit viognier skinsnot juiceadded   fermenter elevate  aromas  floral  citrus accents  juicy  fairly light  flavor  clean   fresh   new oak,black sweet juiceadded floral juicy light,"1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0"
5280,5281,42.0,Villars-sur-Var,Rhône-style Red Blend,Côtes de Provence,,Provence,France,Clos Saint-Joseph,   unusually elegant wine  provence   tiny isolated vineyard   maritime alps   blend  grenache syrah  mourvèdre thats gently extracted crimson  color  filled  intricate delicate fragrances  flavors ranging  violets   hint  iodine  red cherries  maybe even  touch  apricot drink now    next  years,elegant tiny isolated crimson intricate delicate next,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
5281,5282,,Incógnito,Portuguese Red,,,Alentejano,Portugal,Cortes de Cima, wine   become something   cult  portugal perhaps    mystery name referring   time  syrah   permitted  portugal  2005 keeps  open ripe blackberry jam fruit  dark chocolate  herbal flavors    generous earthy character,portugal ripe dark herbal generous earthy,"0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0"
5282,5283,12.0,Terra Amata,Rosé,Côtes de Provence,,Provence,France,Domaine Sorin, complex  richly textured   provençal rosés  wine   treat   mineralladen smoky aromas   ripe cherryberry flavors  layered finish drink now although   enough stuffing  suggest  might last longer  just  single summer,complex provencal mineralladen smoky ripe layered enough single,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5283,5284,27.0,Amantis,Portuguese Red,,,Alentejano,Portugal,Dona Maria, rare blend  cabernet syrah petit verdot  touriga nacional works surprisingly well emphasizing tannic structure rather  fruit  acidity   cab   keeps    heavy   dense color  herbal flavors show  southern warmth  richness dried plums  fresh acidity  finish,rare nacional tannic heavy dense herbal southern,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0"
